Q21_rep1	Q21_rep2	Q21_rep3	Q107_rep1	Q107_rep2	Q107_rep3	Q107CI_rep1	Q107CI_rep2	Q107CI_rep3	Q107CI_rep4
0,60585	0,15348	0,68115	0,70438	0,4323	0,51666	0,708	0,67591	0,70028	0,56535
0,67209	0,77077	0,82149	0,71575	0,59157	0,5593	0,66782	0,58894	0,77131	0,93854
0,50953	0,66291	0,49535	0,74494	0,48029	0,81073	0,47292	0,47337	0,58147	0,45307
0,42792	0,31308	0,53641	0,88956	0,50852	0,5721	0,66264	0,83717	0,88317	0,66723
0,60475	0,76889	0,72575	0,88359	0,24082	0,87703	0,14419	0,4894	0,58469	0,79347
0,53821	0,44845	0,66333	0,69903	0,50821	0,64451	0,047067	0,81811	0,71412	0,16012
0,79918	0,57061	0,84094	0,85048	0,25036	0,6482	0,50826	0,73022	0,77279	0,66412
0,77874	0,81742	0,68798	0,76088	0,40209	0,61869	0,70393	1	0,74346	0,79385
0,70781	0,61901	0,7666	0,63046	0,65958	0,84726	0,59804	0,79366	0,78059	0,55345
0,6917	0,43411	0,58869	0,56709	0,52065	0,66063	0,37879	0,8774	0,67862	0,89026
0,65126	0,39499	0,56113	0,50544	0,30743	0,88067	0,43198	0,73477	0,47446	0,51013
0,69315	0,25807	0,58267	0,56648	0,7236	0,23318	0,81581	0,67172	0,26006	0,55388
0,80085	0,36862	0,89725	0,71729	0,43865	0,73017	0,80047	0,80797	0,52022	0,6252
0,68003	0,069584	0,66563	0,56021	0,21754	0,45474	0,83212	0,92395	0,18613	0,79353
0,66777	0,43828	0,45833	0,87149	0,70618	0,53743	0,91731	0,88549	0,88805	0,62957
0,77476	0,34159	0,45736	0,039418	0,74646	0,79008	0,34961	0,79434	0,74212	0,69653
0,87447	0,053989	0,66573	0,65497	0,80019	0,89143	0,30527	0,87125	0,71046	0,78502
0,85515	0,65118	0,096451	0,78371	0,56442	0,83576	0,58003	0,77112	0,58486	0,39307
0,45579	0,39742	0,11449	0,67148	0,77631	0,71261	0,60892	0,33521	0,083683	0,49415
0,46553	0,44724	0,66481	0,8067	0,72354	0,76805	0,51854	0,57067	0,40713	0,5831
0,54004	0,44184	0,60767	0,57394	0,74096	0,93489	0,44081	0,58054	0,75517	0,61273
0,27255	0,37071	0,516	0,80252	0,8858	0,78189	0,45811	0,51286	0,17445	0,90766
0,65935	0,54288	0,46724	0,57938	0,68479	0,78767	0,7462	0,49293	0,41736	0,93066
0,42146	0,59857	0,49369	0,79658	0,44044	0,30413	0,7375	0,45506	0,39122	0,47528
0,37421	0,75729	0,24563	0,66757	0,53025	0,50703	0,75478	0,39857	0,71269	0,85138
0,43722	0,91512	0,38703	0,75607	0,33426	0,78819	0,52807	0,30906	0,63524	0,91337
0,59986	0,74425	0,32936	0,57909	0,1814	0,72977	0,69414	0,76417	0,67486	0,9475
0,17676	0,86374	0,95809	0,79027	0,48509	0,67853	0,28403	0,86572	0,42658	0,95315
0,39549	0,4768	0,8881	0,6531	0,513	0,66783	0,81106	0,75589	0,28098	0,83655
0,37756	0,69879	0,88987	0,64624	0,48897	0,73157	0,45431	0,69813	0,52552	0,87478
0,42158	0,5364	0,86049	0,69989	0,48396	0,88756	0,71868	0,71278	0,45566	0,51333
0,49684	0,6548	0,71857	0,64475	0,4463	0,82403	0,66177	0,53804	0,61142	0,44502
0,28873	0,6009	0,35096	0,70111	0,53572	0,68772	0,34046	0,59918	0,31886	0,67537
0,65511	0,23262	0,30726	0,5422	0,86435	0,55897	0,4704	0,27633	0,3791	0,31986
0,4086	0,58903	0,18108	0,67848	0,79184	0,81336	0,55781	0,65665	0,60236	0,7234
0,38066	0,51661	0,34186	0,79008	0,74757	0,73442	0,53594	0,62902	0,53178	0,25411
0,4674	0,46152	0,4006	0,95375	0,84013	0,877	0,4884	0,89828	0,34115	0,6131
0,55323	0,69273	0,44352	0,78127	0,39669	0,78131	0,5597	0,84009	0,21325	0,21678
0,65366	0,42594	0,43629	0,91713	0,5628	0,44726	0,54659	0,79248	0,60233	0,93746
0,69646	0,59796	0,50575	0,66021	0,56974	0,63654	0,92062	0,68105	0,80531	0,5639
0,7629	0,19176	0,57717	0,60228	0,65863	0,56396	0,79653	0,64975	0,14497	0,35939
0,79805	0,66049	0,69154	0,5249	0,69574	0,48501	0,63704	0,78827	0,67732	0,53773
0,88976	0,83114	0,70212	0,59554	0,75183	0,7247	0,49131	0,53727	0,30541	0,23146
0,94716	0,7526	0,74793	0,73303	0,78566	0,73481	0,53204	0,70989	0,44074	0,55087
0,81407	0,66343	0,78245	0,70105	0,69095	0,80819	0,54975	0,42856	0,72499	0,51663
0,90128	0,32895	0,78079	0,77456	0,58655	0,4376	0,45159	0,4172	0,52304	0,83454
0,86387	0,16692	0,70098	0,54434	0,3803	0,45974	0,53973	0,42539	0,31584	0,78387
0,70813	0,66608	0,27139	0,82471	0,47022	0,56828	0,61367	0,78029	0,7454	0,33864
0,71345	0,53551	0,712	0,72627	0,36292	0,73298	0,45142	0,8813	0,55712	0,36968
0,62516	0,37236	0,67737	0,82975	0,45715	0,8249	0,20266	0,61353	0,77087	0,39754
0,65637	0,51576	0,69072	0,76039	0,76122	0,75294	0,5236	0,70162	0,74836	0,48586
0,76475	0,69437	0,59261	0,79631	0,58526	0,73737	0,61015	0,69247	0,88737	0,66641
0,68372	0,81343	0,51887	0,44055	0,88993	0,6748	0,73879	0,62787	0,84334	0,88828
0,51012	0,9018	0,74197	0,70087	0,75545	0,72863	0,85568	0,53048	0,8228	0,30243
0,55788	0,8423	0,40695	0,71267	0,74066	0,71387	0,89746	0,4875	0,7426	0,87136
0,64296	0,60205	0,47264	0,54097	0,85248	0,71761	0,82259	0,061921	0,59134	0,25103
0,51725	0,21938	0,74195	0,62359	0,5674	0,67711	0,88255	0,59645	0,48492	0,60893
0,86684	0,16808	0,78205	0,59449	0,76073	0,83645	0,73536	0,51965	0,32652	0,49723
0,78521	0,8684	0,73214	0,72355	0,53093	0,93828	0,6392	0,51512	0,57939	0,43073
0,68106	0,6755	0,77668	0,6667	0,04168	0,8945	0,59561	0,30688	0,57983	0,64916
0,45877	0,61739	0,63246	0,56223	0,52595	0,8424	0,50007	0,67472	0,46883	0,80817
0,46702	0,66811	0,4604	0,66358	0,55366	0,83166	0,49591	0,53019	0,71669	0,95433
0,51709	0,19867	0,74497	0,70314	0,54227	0,85934	0,70869	0,55349	0,38953	0,97361
0,74989	0,68686	0,7663	0,811	0,66119	0,88608	0,13139	0,9498	0,93982	0,70926
0,87447	0,64206	0,76951	0,83803	0,74915	0,89704	0,48356	0,63108	0,4464	0,40573
0,43498	0,10583	0,65236	0,65084	0,6135	0,7646	0,29805	0,96585	0,61687	0,44815
0,75498	0,35377	0,89774	0,75187	0,75168	0,66725	0,54745	0,76927	0,42281	0,37216
0,62603	0,43069	0,90161	0,75255	0,48864	0,64583	0,66192	0,28682	0,61189	0,42042
0,43738	0,51562	0,64404	0,61202	0,72213	0,48779	0,66898	0,41148	0,64422	0,77224
0,57393	0,27393	0,7873	0,36648	0,87385	0,38181	0,8193	0,43863	0,80835	0,33049
0,47013	0,18983	0,72613	0,6042	0,36263	0,33822	0,73748	0,60896	0,39157	0,36878
0,53208	0,48358	0,55412	0,51386	0,52687	0,15274	0,63244	0,65932	0,88442	0,64597
0,71314	0,51061	0,68691	0,82333	0,40339	0,64587	0,44615	0,74967	0,71661	0,3312
0,63664	0,85466	0,84706	0,73548	0,47684	0,98453	0,54205	0,77356	0,74871	0,41483
0,72186	0,53478	0,76314	0,75626	0,50733	0,98838	0,50973	0,87037	0,76102	0,71631
0,77416	0,6821	0,6026	0,67721	0,65489	0,75137	0,35629	0,62788	0,85243	0,60207
0,52052	0,40998	0,60912	0,5827	0,21442	0,98299	0,78042	0,55484	0,81133	0,7955
0,52115	0,2132	0,22095	0,52673	0,39728	0,98394	0,96038	0,72006	0,60131	0,36948
0,50426	0,38791	0,54965	0,75461	0,45276	0,71735	0,53741	0,39919	0,66228	0,31236
0,56645	0,82219	0,53739	0,56836	0,36042	0,77711	0,35237	0,44895	0,36928	0,43707
0,40707	0,84441	0,76374	0,66866	0,87283	0,65914	0,61156	0,5264	0,65551	0,54209
0,37536	0,71625	0,55221	0,54463	0,2248	0,67914	0,19221	0,48303	0,80531	0,24087
0,48107	0,49818	0,91361	0,5938	0,79511	0,68964	0,75701	0,38249	0,76525	0,30291
0,46359	0,55266	0,68044	0,80485	0,77071	0,79701	0,47339	0,39017	0,32405	0,3
0,10089	0,58535	0,53564	0,76483	0,58023	0,81654	0,76134	0,5629	0,77118	0,73867
0,059526	0,4553	0,40521	0,76935	0,8906	0,65819	0,86497	0,48223	0,75245	0,50794
0,3993	0,12711	0,19841	0,61898	0,41495	0,68003	0,75774	0,34325	0,54745	0,21697
0,091728	0,25581	0,66644	0,62472	0,50562	0,69522	0,44198	0,43583	0,82357	0,24654
0,14736	0,27078	0,72044	0,80956	0,70263	0,60702	0,52686	0,78044	0,59467	0,56107
0,46536	0,55851	0,79624	0,92221	0,70737	0,91339	0,91701	0,59522	0,73091	0,95195
0,62687	0,65993	0,74226	0,49077	0,60568	0,69668	0,63948	0,61751	0,80758	0,71581
0,70558	0,2343	0,7112	0,61186	0,3116	0,64735	0,6413	0,53436	0,80109	0,24073
0,59838	0,55585	0,55204	0,50308	0,62023	0,8512	0,91356	0,62088	0,59524	0,68622
0,6697	0,25772	0,54649	0,81798	0,54475	0,81884	0,81896	0,66119	0,66504	0,59341
0,84391	0,53126	0,53825	0,35311	0,52474	0,7963	0,72296	0,59672	0,51932	0,78039
0,85665	0,38554	0,6961	0,6694	0,50929	0,71487	0,2715	0,87687	0,36697	0,88194
0,75623	0,38694	0,82798	0,5228	0,25316	0,69142	0,10382	0,61216	0,32085	0,96504
0,52558	0,50833	0,17786	0,48631	0,38058	0,60235	0,83908	0,70885	0,3499	0,77419
0,5906	0,60133	0,68203	0,5979	0,29432	0,86531	0,45376	0,86388	0,31507	0,72896
0,4778	0,51939	0,4994	0,4174	0,92506	0,8995	0,86052	0,54865	0,28407	0,40302
0,41266	0,62681	0,95426	0,81116	0,85011	0,80622	0,77279	0,56377	0,50048	0,27862
